driver_id,total_fare,avg_distance
31,109.36,11.53
65,118.57,19.67
34,83.53,40.53
28,108.25,32.055
26,51.7,38.66
27,90.24,40.29
12,91.68,13.12
91,78.47,46.26
93,69.26,15.4
52,90.87,20.74
64,8.5,21.53
43,46.46,25.29
88,120.34,29.62
35,73.24,45.03
4,127.97,48.17
100,115.00999999999999,24.244999999999997
39,49.92,39.62
23,122.79,45.86
49,138.61,6.16
69,105.63,32.01
97,149.35,2.29
10,100.28,35.34
77,231.05,35.394999999999996
38,135.22,6.69
25,124.52,31.73
24,60.22,48.67
95,307.03,23.86
29,55.6,10.870000000000001
21,107.84,24.5
90,19.81,27.27
56,200.58999999999997,23.345
58,142.97,8.85
33,74.86,43.12
83,21.0,29.3
68,68.13,20.95
99,102.47,48.67
66,18.96,47.67
74,67.12,18.37
36,79.51,42.35
